対象日付,コード,銘柄名,みなし額面,業種,セクター
"2021/02/19","3659","ネクソン","25円","サービス","消費"
"2021/02/19","3861","王子ホールディングス","50円","パルプ・紙","素材"
"2021/02/19","3863","日本製紙","500円","パルプ・紙","素材"
"2021/02/19","4004","昭和電工","500円","化学","素材"
"2021/02/19","4005","住友化学","50円","化学","素材"
"2021/02/19","4021","日産化学","50円","化学","素材"
"2021/02/19","4042","東ソー","100円","化学","素材"
"2021/02/19","4043","トクヤマ","250円","化学","素材"
"2021/02/19","4061","デンカ","250円","化学","素材"
"2021/02/19","4063","信越化学工業","50円","化学","素材"
"2021/02/19","4151","協和キリン","50円","医薬品","技術"
"2021/02/19","4183","三井化学","250円","化学","素材"
"2021/02/19","4188","三菱ケミカルホールディングス","100円","化学","素材"
"2021/02/19","4208","宇部興産","500円","化学","素材"
"2021/02/19","4324","電通グループ","50円","サービス","消費"
"2021/02/19","4452","花王","50円","化学","素材"
"2021/02/19","4502","武田薬品工業","50円","医薬品","技術"
